Profile;h;b;t-s;t-g;A;g;I-y;W-y;i-y;I-z;W-z;i-z;A-q;r;S-f;W-yv;A-qv;gHandel;Knick;S-y;Itor;Iw/1000;Typ;MIP-Typ;Sec-Typ;ey;S 460 Knick
HEB100;100;100;6;10;26;20.4;450;89.9;4.16;167;33.5;2.53;9;12;49.8;160.5357143;5.421686747;20.9;b/c;52.1;9.25;3.375;1;1;H;0;a
HEB120;120;120;6.5;11;34;26.7;864;144;5.04;218;52.9;3.06;10.955;12;78.2;233.5135135;7.181585678;27.4;b/c;82.6;13.8;9.41;1;1;H;0;a
HEB140;140;140;7;12;43;33.7;1510;216;5.93;550;78.5;3.58;13.12;12;115;328.6956522;9.191304348;34.5;b/c;123;20.1;22.48;1;1;H;0;a
HEB160;160;160;8;13;54.3;42.6;2490;311;6.78;889;111;4.05;17.64;15;166;478.4615385;12;43.7;b/c;177;31.2;47.94;1;1;H;0;a
HEB180;180;180;8.5;14;65.3;51.2;3830;426;7.66;1360;151;4.57;20.29;15;225;628.5245902;14.46888889;52.5;b/c;241;42.2;93.75;1;1;H;0;a
HEB200;200;200;9;15;78.1;61.3;5700;570;8.54;2000;200;5.07;24.85;18;301;850.7462687;17.04318937;63;b/c;321;59.3;171.1;1;1;H;0;a
HEB220;220;220;9.5;16;91;71.5;8090;736;9.43;2840;258;5.59;27.88;18;386;1065.263158;19.91062176;73;b/c;414;76.6;295.4;1;1;H;0;a
HEB240;240;240;10;17;106;83.2;11260;938;10.3;3920;327;6.08;33.24;21;493;1372.682927;22.83975659;85;b/c;527;103;486.9;1;1;H;0;a
HEB260;260;260;10;17.5;118;93;14920;1150;11.2;5130;395;6.58;37.15;24;602;1689.265537;24.78405316;95;b/c;641;124;753.7;1;1;H;0;a
HEB280;280;280;10.5;18;131;103;19270;1380;12.1;6590;471;7.09;40.73;24;717;1971.428571;28.21966527;106;b/c;767;144;1130;1;1;H;0;a
